id,name,total,OK,內容問題,內容問題/空白欄位,內容問題/重覆欄位,下載問題,內容問題/純數字欄位,內容問題/欄位過長,內容問題/亂碼
454,經濟部礦務局,10,8,2,1,1,0,0,0,0
443,經濟部,387,277,29,23,3,81,3,2,1
712,金融監督管理委員會證券期貨局,307,253,9,2,4,45,5,1,0
507,金融監督管理委員會,686,517,25,10,15,144,6,3,0
438,財政部財政資訊中心,746,648,92,76,43,6,4,7,0
432,財政部,1058,749,245,223,112,64,61,9,1
433,財政部國庫署,166,5,136,134,63,25,53,2,0
495,中央銀行,78,23,16,16,2,39,3,0,0
428,行政院,684,485,108,95,20,91,12,10,1
518,行政院主計總處,7,5,0,0,0,2,0,0,0
436,財政部關務署,53,41,10,8,2,2,2,0,0
673,法務部統計處,224,224,0,0,0,0,0,0,0
442,法務部,408,262,100,86,17,46,14,0,0
670,法務部秘書處,117,19,98,85,16,0,13,0,0
747,國家教育研究院,103,103,0,0,0,0,0,0,0
440,教育部,226,186,17,11,4,23,4,1,0
500,公平交易委員會,61,40,17,16,2,4,0,0,0
435,財政部國有財產署,48,47,1,1,0,0,0,0,0
480,臺灣港務股份有限公司,33,16,12,12,11,5,0,1,0
466,交通部,163,76,45,36,26,42,2,1,1
552,勞動部勞工保險局,53,49,4,1,3,0,0,0,0
497,勞動部,110,85,6,2,3,19,1,0,0
458,經濟部能源局,28,24,3,3,0,1,1,0,0
429,內政部,335,90,70,68,2,175,1,1,0
489,科技部,75,50,22,18,6,3,1,2,0
705,金融監督管理委員會銀行局,160,123,5,4,1,32,0,0,0
515,衛生福利部國民健康署,157,133,15,2,9,9,2,2,0
453,經濟部智慧財產局,10,8,1,1,0,1,0,0,0
508,國家通訊傳播委員會,78,75,3,1,1,0,1,0,1
513,衛生福利部疾病管制署,160,155,3,0,0,2,3,0,0
509,衛生福利部,392,242,123,34,21,27,81,48,11
714,中央存款保險股份有限公司,13,13,0,0,0,0,0,0,0
635,勞動部勞動力發展署,17,16,0,0,0,1,0,0,0
491,國家發展委員會,73,22,40,28,14,11,2,6,0
431,國防部,118,82,23,12,8,13,4,2,1
716,金融監督管理委員會保險局,67,57,10,4,9,0,1,2,0
636,勞動部勞動基金運用局,16,12,0,0,0,4,0,0,0
446,經濟部中小企業處,38,25,2,0,2,11,1,1,0
505,臺灣省諮議會,19,18,0,0,0,1,0,0,0
